Schritt,Zustand,Zeit,Programmdauer,Schrittdauer,Zyklus,Zyklusebene,Prozedur,Prozedurebene,AhAkku,AhLad,AhEla,AhStep,Energie,WhStep,Spannung,Strom,Temp
4,PAU,14:33.7,880202,880079,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,14:43.6,890164,890041,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,14:53.6,900167,900044,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,15:03.6,910188,910065,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,15:13.7,920204,920081,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,15:23.7,930205,930082,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,15:33.6,940182,940059,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,15:43.6,950176,950053,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,15:53.6,960192,960069,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,16:03.6,970154,970031,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,16:13.7,980200,980077,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,16:23.7,990195,990072,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.613054958,0,27.3125
4,PAU,16:33.6,1000169,1000046,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.613054958,0,27.3125
4,PAU,16:43.6,1010184,1010061,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,16:53.6,1020158,1020035,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,17:03.6,1030160,1030037,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,17:13.6,1040166,1040043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,17:23.7,1050198,1050075,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,17:33.6,1060159,1060036,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,17:43.6,1070178,1070055,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,17:53.6,1080185,1080062,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,18:03.6,1090154,1090031,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,18:13.6,1100193,1100070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,18:23.7,1110197,1110074,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,18:33.6,1120175,1120052,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,18:43.7,1130199,1130076,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,18:53.6,1140159,1140036,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,19:03.7,1150201,1150078,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,19:13.7,1160198,1160075,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,19:23.6,1170169,1170046,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.613054958,0,27.3125
4,PAU,19:33.6,1180193,1180070,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,19:43.6,1190164,1190041,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,19:53.6,1200166,1200043,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,20:03.6,1210177,1210054,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,20:13.6,1220155,1220032,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,20:23.6,1230155,1230032,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,20:33.6,1240171,1240048,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,20:43.6,1250159,1250036,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.3125
4,PAU,20:53.6,1260173,1260050,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.3125
4,PAU,21:03.6,1270186,1270063,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,21:13.6,1280160,1280037,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.3125
4,PAU,21:23.6,1290192,1290069,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,21:33.6,1300183,1300060,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
4,PAU,21:43.6,1310179,1310056,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,21:53.6,1320176,1320053,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612689339,0,27.375
4,PAU,22:03.6,1330192,1330069,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,22:13.6,1340171,1340048,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,22:23.6,1350171,1350048,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.611958099,0,27.375
4,PAU,22:33.6,1360158,1360035,0,0,TBA_CUv2,0,0,0,0,0,0,0,3.612323719,0,27.375
